sec par, # entries, total bytes, total_time
512, 10, 2818, 0.018122
512, 10, 2818, 0.018564
512, 10, 2818, 0.018345
512, 10, 2818, 0.017942
512, 10, 2818, 0.018164
-------------------------------------------
512, 20, 5376, 0.025935
512, 20, 5376, 0.026761
512, 20, 5376, 0.027184
512, 20, 5376, 0.032509
512, 20, 5378, 0.026257
-------------------------------------------
512, 30, 7936, 0.036443
512, 30, 7938, 0.035327
512, 30, 7938, 0.034550
512, 30, 7938, 0.035504
512, 30, 7938, 0.034323
-------------------------------------------
512, 40, 10498, 0.045362
512, 40, 10498, 0.046088
512, 40, 10496, 0.045487
512, 40, 10498, 0.044405
512, 40, 10498, 0.045788
-------------------------------------------
512, 50, 13058, 0.053289
512, 50, 13056, 0.052710
512, 50, 13058, 0.052826
512, 50, 13054, 0.055520
512, 50, 13056, 0.052085
-------------------------------------------
512, 60, 15612, 0.065115
512, 60, 15618, 0.061701
512, 60, 15618, 0.062336
512, 60, 15618, 0.061672
512, 60, 15618, 0.063555
-------------------------------------------
512, 70, 18174, 0.070765
512, 70, 18176, 0.118747
512, 70, 18178, 0.069265
512, 70, 18178, 0.071456
512, 70, 18178, 0.071578
-------------------------------------------
512, 80, 20738, 0.080344
512, 80, 20738, 0.078027
512, 80, 20734, 0.080493
512, 80, 20738, 0.082599
512, 80, 20738, 0.081635
-------------------------------------------
512, 90, 23298, 0.086688
512, 90, 23296, 0.090328
512, 90, 23296, 0.087718
512, 90, 23294, 0.086329
512, 90, 23296, 0.087581
-------------------------------------------
512, 100, 25858, 0.096820
512, 100, 25858, 0.095868
512, 100, 25854, 0.095356
512, 100, 25858, 0.099067
512, 100, 25854, 0.099519
-------------------------------------------
